epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.614,0.86786,2.80698,1.52371,0.00329,0.94615,0.28844,0.09842,1.8499,4.17419,2.84164,0.000526421,0.000526421,0.000526421
2,333.663,0.79764,2.12915,1.47683,0.00212,0.58923,0.04469,0.01043,3.11451,4.74746,4.24079,0.00107138,0.00107138,0.00107138
3,488.951,0.8879,1.67318,1.50963,0.66859,0.02,0.0329,0.00484,3.78711,7.5413,5.00425,0.00160533,0.00160533,0.00160533
4,678.274,0.90052,1.60783,1.50837,0.00243,0.58,0.00343,0.00108,2.45584,52.6565,5.13224,0.00161749,0.00161749,0.00161749
5,835.876,0.85314,1.4143,1.50964,0.19914,0.53385,0.20912,0.05913,2.33354,6.92574,4.47156,0.00160099,0.00160099,0.00160099
6,1031.46,0.85205,1.35544,1.4697,0.11028,0.38462,0.06737,0.01686,2.85661,6.77924,4.34294,0.00158448,0.00158448,0.00158448
7,1184.07,0.86987,1.35341,1.4829,0.39616,0.51538,0.16947,0.06105,1.41838,11.0696,3.4566,0.00156798,0.00156798,0.00156798
8,1352.52,0.85264,1.31537,1.49771,0.30168,0.52462,0.24498,0.0524,2.78391,6.34695,3.53568,0.00155148,0.00155148,0.00155148
9,1562.11,0.83526,1.25549,1.45921,0.22388,0.64,0.24504,0.1019,1.80014,3.83975,2.56973,0.00153497,0.00153497,0.00153497
10,1761.86,0.77978,1.24384,1.42858,0.76553,0.76,0.77966,0.51929,1.10193,1.88903,2.11294,0.00151847,0.00151847,0.00151847
11,1950.3,0.79344,1.17662,1.45371,0.45897,0.59077,0.50382,0.22007,1.82368,2.97858,2.69147,0.00150197,0.00150197,0.00150197
12,2186.25,0.80196,1.20649,1.44679,0.51632,0.56769,0.5965,0.31546,1.41821,2.12816,2.16905,0.00148546,0.00148546,0.00148546
13,2354.25,0.79144,1.161,1.44497,0.40927,0.69692,0.49627,0.18504,1.73247,2.70249,2.44103,0.00146896,0.00146896,0.00146896
14,2552.17,0.76278,1.15938,1.42091,0.42325,0.78998,0.66632,0.42516,1.15836,2.44066,2.13725,0.00145246,0.00145246,0.00145246
15,2742.46,0.75219,1.0893,1.41779,0.22353,0.35458,0.18196,0.07559,1.89894,3.15507,2.2265,0.00143595,0.00143595,0.00143595
16,2921.21,0.73186,1.07508,1.3898,0.55889,0.70923,0.5833,0.29195,1.64945,2.23479,2.41963,0.00141945,0.00141945,0.00141945
17,3086.48,0.80766,1.12791,1.45632,0.5179,0.66655,0.57999,0.36622,1.08309,1.86846,1.94767,0.00140295,0.00140295,0.00140295
18,3249.44,0.71754,1.01828,1.39236,0.79497,0.74322,0.77525,0.49006,1.20027,1.67095,2.0474,0.00138644,0.00138644,0.00138644
